"mturk_participant_id","trial_id","rt","response","itemA","itemB","categoryA","categoryB","type","category_pairs","item_pairs","item_pair_means"
"pilot_cjdb5fo72m","causal_trial_7",5297,75,"remember something","feel sick","cog","bio","across domain","cog-bio","remember something-feel sick",78
"pilot_cjdb5fo72m","causal_trial_8",6335,86,"see something","kick something","cog","act","across domain","cog-act","see something-kick something",86
"pilot_cjdb5fo72m","causal_trial_9",6760,81,"choose what to do","jump up and down","cog","act","across domain","cog-act","choose what to do-jump up and down",60
"pilot_cjdb5fo72m","causal_trial_10",6872,37,"feel scared","take a walk","bio","act","across domain","bio-act","feel scared-take a walk",55
"pilot_cjdb5fo72m","causal_trial_11",8095,75,"choose what to do","feel sick","cog","bio","across domain","cog-bio","choose what to do-feel sick",76
"pilot_cjdb5fo72m","causal_trial_12",16652,64,"take a walk","think about something","act","cog","across domain","act-cog","take a walk-think about something",75
"pilot_cjdb5fo72m","causal_trial_13",5492,62,"choose what to do","feel hungry","cog","bio","across domain","cog-bio","choose what to do-feel hungry",62
"pilot_cjdb5fo72m","causal_trial_14",9737,64,"reach for something","feel sick","act","bio","across domain","act-bio","reach for something-feel sick",37
"pilot_cjdb5fo72m","causal_trial_15",9258,100,"think about something","choose what to do","cog","cog","within domain","cog-cog","think about something-choose what to do",70
"pilot_cjdb5fo72m","causal_trial_16",5807,76,"hear something","think about something","cog","cog","within domain","cog-cog","hear something-think about something",70
"pilot_cjdb5fo72m","causal_trial_17",5653,11,"feel pain","see something","bio","cog","across domain","bio-cog","feel pain-see something",26
"pilot_cjdb5fo72m","causal_trial_18",5899,84,"choose what to do","kick something","cog","act","across domain","cog-act","choose what to do-kick something",80
"pilot_cjdb5fo72m","causal_trial_19",9962,64,"kick something","remember something","act","cog","across domain","act-cog","kick something-remember something",56
"pilot_cjdb5fo72m","causal_trial_20",6818,20,"feel hungry","jump up and down","bio","act","across domain","bio-act","feel hungry-jump up and down",31
"pilot_cjdb5fo72m","causal_trial_21",5681,86,"feel pain","sit down","bio","act","across domain","bio-act","feel pain-sit down",77
"pilot_cjdb5fo72m","causal_trial_22",5575,25,"sit down","kick something","act","act","within domain","act-act","sit down-kick something",22
"pilot_cjdb5fo72m","causal_trial_23",8641,7,"think about something","hear something","cog","cog","within domain","cog-cog","think about something-hear something",8
"pilot_cjdb5fo72m","causal_trial_24",6467,82,"remember something","feel scared","cog","bio","across domain","cog-bio","remember something-feel scared",89
"pilot_cjdb5fo72m","causal_trial_25",13268,61,"feel tired","feel scared","bio","bio","within domain","bio-bio","feel tired-feel scared",51
"pilot_cjdb5fo72m","causal_trial_26",5460,68,"feel pain","feel sick","bio","bio","within domain","bio-bio","feel pain-feel sick",67
"pilot_cjdb5fo72m","causal_trial_27",6461,9,"choose what to do","hear something","cog","cog","within domain","cog-cog","choose what to do-hear something",9
"pilot_cjdb5fo72m","causal_trial_28",5133,82,"choose what to do","reach for something","cog","act","across domain","cog-act","choose what to do-reach for something",78
"pilot_cjdb5fo72m","causal_trial_29",3473,89,"feel tired","sit down","bio","act","across domain","bio-act","feel tired-sit down",89
"pilot_cjdb5fo72m","causal_trial_30",4650,84,"choose what to do","feel scared","cog","bio","across domain","cog-bio","choose what to do-feel scared",84
"pilot_cjdb5fo72m","causal_trial_31",4300,75,"reach for something","think about something","act","cog","across domain","act-cog","reach for something-think about something",62
"pilot_cjdb5fo72m","causal_trial_32",5532,83,"see something","jump up and down","cog","act","across domain","cog-act","see something-jump up and down",78
"pilot_cjdb5fo72m","causal_trial_33",5951,20,"remember something","see something","cog","cog","within domain","cog-cog","remember something-see something",10
"pilot_cjdb5fo72m","causal_trial_34",6805,7,"remember something","hear something","cog","cog","within domain","cog-cog","remember something-hear something",16
"pilot_cjdb5fo72m","causal_trial_35",6987,19,"reach for something","take a walk","act","act","within domain","act-act","reach for something-take a walk",19
"pilot_cjdb5fo72m","causal_trial_36",4089,83,"jump up and down","feel pain","act","bio","across domain","act-bio","jump up and down-feel pain",65
"pilot_cjdb5fo72m","causal_trial_37",9055,55,"sit down","see something","act","cog","across domain","act-cog","sit down-see something",62
"pilot_cjdb5fo72m","causal_trial_38",8616,83,"kick something","jump up and down","act","act","within domain","act-act","kick something-jump up and down",66
"pilot_cjdb5fo72m","causal_trial_39",6344,22,"feel pain","feel hungry","bio","bio","within domain","bio-bio","feel pain-feel hungry",50
"pilot_cjdb5fo72m","causal_trial_40",7285,41,"sit down","feel sick","act","bio","across domain","act-bio","sit down-feel sick",54
"pilot_cjdb5fo72m","causal_trial_41",7700,25,"feel tired","kick something","bio","act","across domain","bio-act","feel tired-kick something",55
"pilot_cjdb5fo72m","causal_trial_42",6230,78,"hear something","choose what to do","cog","cog","within domain","cog-cog","hear something-choose what to do",77
"pilot_fy20d4dn6x","causal_trial_1",3982,76,"remember something","feel sick","cog","bio","across domain","cog-bio","remember something-feel sick",78
"pilot_fy20d4dn6x","causal_trial_2",3643,43,"sit down","feel sick","act","bio","across domain","act-bio","sit down-feel sick",54
"pilot_fy20d4dn6x","causal_trial_3",4020,76,"jump up and down","feel hungry","act","bio","across domain","act-bio","jump up and down-feel hungry",63
"pilot_fy20d4dn6x","causal_trial_4",14005,76,"reach for something","hear something","act","cog","across domain","act-cog","reach for something-hear something",60
"pilot_fy20d4dn6x","causal_trial_5",6268,71,"jump up and down","sit down","act","act","within domain","act-act","jump up and down-sit down",59
"pilot_fy20d4dn6x","causal_trial_6",8526,87,"see something","take a walk","cog","act","across domain","cog-act","see something-take a walk",79
"pilot_fy20d4dn6x","causal_trial_7",3368,60,"feel tired","kick something","bio","act","across domain","bio-act","feel tired-kick something",55
"pilot_fy20d4dn6x","causal_trial_8",5255,96,"feel sick","feel pain","bio","bio","within domain","bio-bio","feel sick-feel pain",87
"pilot_fy20d4dn6x","causal_trial_9",5059,77,"choose what to do","sit down","cog","act","across domain","cog-act","choose what to do-sit down",83
"pilot_fy20d4dn6x","causal_trial_10",4799,65,"take a walk","kick something","act","act","within domain","act-act","take a walk-kick something",47
"pilot_fy20d4dn6x","causal_trial_11",18244,70,"hear something","feel tired","cog","bio","across domain","cog-bio","hear something-feel tired",70
"pilot_fy20d4dn6x","causal_trial_12",8914,75,"think about something","kick something","cog","act","across domain","cog-act","think about something-kick something",62
"pilot_fy20d4dn6x","causal_trial_13",2268,75,"feel tired","feel hungry","bio","bio","within domain","bio-bio","feel tired-feel hungry",75
"pilot_fy20d4dn6x","causal_trial_14",2633,57,"feel tired","remember something","bio","cog","across domain","bio-cog","feel tired-remember something",77
"pilot_fy20d4dn6x","causal_trial_15",16251,72,"feel pain","sit down","bio","act","across domain","bio-act","feel pain-sit down",77
"pilot_fy20d4dn6x","causal_trial_16",4152,79,"feel hungry","feel tired","bio","bio","within domain","bio-bio","feel hungry-feel tired",55
"pilot_fy20d4dn6x","causal_trial_17",15756,68,"kick something","feel scared","act","bio","across domain","act-bio","kick something-feel scared",75
"pilot_fy20d4dn6x","causal_trial_18",6909,84,"feel scared","kick something","bio","act","across domain","bio-act","feel scared-kick something",89
"pilot_fy20d4dn6x","causal_trial_19",4828,73,"feel pain","reach for something","bio","act","across domain","bio-act","feel pain-reach for something",72
"pilot_fy20d4dn6x","causal_trial_20",4385,78,"feel hungry","feel pain","bio","bio","within domain","bio-bio","feel hungry-feel pain",78
"pilot_fy20d4dn6x","causal_trial_21",5641,75,"feel hungry","think about something","bio","cog","across domain","bio-cog","feel hungry-think about something",59
"pilot_fy20d4dn6x","causal_trial_22",4240,63,"reach for something","feel sick","act","bio","across domain","act-bio","reach for something-feel sick",37
"pilot_fy20d4dn6x","causal_trial_23",4306,39,"jump up and down","feel scared","act","bio","across domain","act-bio","jump up and down-feel scared",50
"pilot_fy20d4dn6x","causal_trial_24",20344,71,"jump up and down","see something","act","cog","across domain","act-cog","jump up and down-see something",63
"pilot_fy20d4dn6x","causal_trial_25",5889,82,"feel hungry","feel sick","bio","bio","within domain","bio-bio","feel hungry-feel sick",82
"pilot_fy20d4dn6x","causal_trial_26",3013,69,"jump up and down","reach for something","act","act","within domain","act-act","jump up and down-reach for something",69
"pilot_fy20d4dn6x","causal_trial_27",10411,74,"kick something","feel hungry","act","bio","across domain","act-bio","kick something-feel hungry",64
"pilot_fy20d4dn6x","causal_trial_28",6251,79,"feel scared","sit down","bio","act","across domain","bio-act","feel scared-sit down",72
"pilot_fy20d4dn6x","causal_trial_29",4489,69,"kick something","think about something","act","cog","across domain","act-cog","kick something-think about something",81
"pilot_fy20d4dn6x","causal_trial_30",4840,76,"see something","hear something","cog","cog","within domain","cog-cog","see something-hear something",55
"pilot_fy20d4dn6x","causal_trial_31",2373,86,"feel tired","feel pain","bio","bio","within domain","bio-bio","feel tired-feel pain",67
"pilot_fy20d4dn6x","causal_trial_32",4160,94,"kick something","feel tired","act","bio","across domain","act-bio","kick something-feel tired",50
"pilot_fy20d4dn6x","causal_trial_33",2486,56,"feel hungry","see something","bio","cog","across domain","bio-cog","feel hungry-see something",56
"pilot_fy20d4dn6x","causal_trial_34",22719,93,"feel pain","feel sick","bio","bio","within domain","bio-bio","feel pain-feel sick",67
"pilot_fy20d4dn6x","causal_trial_35",3960,85,"choose what to do","take a walk","cog","act","across domain","cog-act","choose what to do-take a walk",76
"pilot_fy20d4dn6x","causal_trial_36",2696,87,"feel hungry","reach for something","bio","act","across domain","bio-act","feel hungry-reach for something",84
"pilot_fy20d4dn6x","causal_trial_37",3238,75,"think about something","feel sick","cog","bio","across domain","cog-bio","think about something-feel sick",81
"pilot_fy20d4dn6x","causal_trial_38",2584,79,"feel tired","choose what to do","bio","cog","across domain","bio-cog","feel tired-choose what to do",68
"pilot_fy20d4dn6x","causal_trial_39",3083,38,"feel hungry","jump up and down","bio","act","across domain","bio-act","feel hungry-jump up and down",31
"pilot_fy20d4dn6x","causal_trial_40",2608,25,"feel tired","take a walk","bio","act","across domain","bio-act","feel tired-take a walk",52
"pilot_fy20d4dn6x","causal_trial_41",10374,60,"jump up and down","take a walk","act","act","within domain","act-act","jump up and down-take a walk",42
"pilot_fy20d4dn6x","causal_trial_42",1985,68,"reach for something","feel hungry","act","bio","across domain","act-bio","reach for something-feel hungry",59
"pilot_hn1zep0ba1","causal_trial_1",9487,75,"feel scared","remember something","bio","cog","across domain","bio-cog","feel scared-remember something",78
"pilot_hn1zep0ba1","causal_trial_2",6539,75,"feel tired","take a walk","bio","act","across domain","bio-act","feel tired-take a walk",52
"pilot_hn1zep0ba1","causal_trial_3",16450,75,"sit down","feel pain","act","bio","across domain","act-bio","sit down-feel pain",75
"pilot_hn1zep0ba1","causal_trial_4",8043,100,"remember something","reach for something","cog","act","across domain","cog-act","remember something-reach for something",88
"pilot_hn1zep0ba1","causal_trial_5",4736,0,"sit down","take a walk","act","act","within domain","act-act","sit down-take a walk",36
"pilot_hn1zep0ba1","causal_trial_6",8658,98,"kick something","hear something","act","cog","across domain","act-cog","kick something-hear something",97
"pilot_hn1zep0ba1","causal_trial_7",6004,12,"hear something","feel pain","cog","bio","across domain","cog-bio","hear something-feel pain",44
"pilot_hn1zep0ba1","causal_trial_8",8356,63,"choose what to do","feel hungry","cog","bio","across domain","cog-bio","choose what to do-feel hungry",62
"pilot_hn1zep0ba1","causal_trial_9",8837,39,"choose what to do","remember something","cog","cog","within domain","cog-cog","choose what to do-remember something",58
"pilot_hn1zep0ba1","causal_trial_10",6635,64,"hear something","think about something","cog","cog","within domain","cog-cog","hear something-think about something",70
"pilot_hn1zep0ba1","causal_trial_11",8557,56,"remember something","feel hungry","cog","bio","across domain","cog-bio","remember something-feel hungry",54
"pilot_hn1zep0ba1","causal_trial_12",6545,75,"choose what to do","reach for something","cog","act","across domain","cog-act","choose what to do-reach for something",78
"pilot_hn1zep0ba1","causal_trial_13",5124,35,"remember something","feel pain","cog","bio","across domain","cog-bio","remember something-feel pain",56
"pilot_hn1zep0ba1","causal_trial_14",4623,60,"hear something","reach for something","cog","act","across domain","cog-act","hear something-reach for something",62
"pilot_hn1zep0ba1","causal_trial_15",6237,85,"take a walk","see something","act","cog","across domain","act-cog","take a walk-see something",90
"pilot_hn1zep0ba1","causal_trial_16",4443,9,"reach for something","feel sick","act","bio","across domain","act-bio","reach for something-feel sick",37
"pilot_hn1zep0ba1","causal_trial_17",6517,35,"remember something","sit down","cog","act","across domain","cog-act","remember something-sit down",36
"pilot_hn1zep0ba1","causal_trial_18",6271,77,"sit down","feel sick","act","bio","across domain","act-bio","sit down-feel sick",54
"pilot_hn1zep0ba1","causal_trial_19",5331,65,"feel tired","feel pain","bio","bio","within domain","bio-bio","feel tired-feel pain",67
"pilot_hn1zep0ba1","causal_trial_20",9426,75,"feel scared","take a walk","bio","act","across domain","bio-act","feel scared-take a walk",55
"pilot_hn1zep0ba1","causal_trial_21",7879,89,"jump up and down","kick something","act","act","within domain","act-act","jump up and down-kick something",54
"pilot_hn1zep0ba1","causal_trial_22",5034,11,"kick something","feel tired","act","bio","across domain","act-bio","kick something-feel tired",50
"pilot_hn1zep0ba1","causal_trial_23",4380,39,"think about something","feel pain","cog","bio","across domain","cog-bio","think about something-feel pain",58
"pilot_hn1zep0ba1","causal_trial_24",3702,77,"feel pain","sit down","bio","act","across domain","bio-act","feel pain-sit down",77
"pilot_hn1zep0ba1","causal_trial_25",4875,26,"reach for something","feel tired","act","bio","across domain","act-bio","reach for something-feel tired",49
"pilot_hn1zep0ba1","causal_trial_26",5358,100,"feel pain","feel scared","bio","bio","within domain","bio-bio","feel pain-feel scared",87
"pilot_hn1zep0ba1","causal_trial_27",4099,81,"feel hungry","choose what to do","bio","cog","across domain","bio-cog","feel hungry-choose what to do",88
"pilot_hn1zep0ba1","causal_trial_28",4058,61,"see something","feel hungry","cog","bio","across domain","cog-bio","see something-feel hungry",64
"pilot_hn1zep0ba1","causal_trial_29",3307,83,"feel sick","feel tired","bio","bio","within domain","bio-bio","feel sick-feel tired",72
"pilot_hn1zep0ba1","causal_trial_30",5305,61,"choose what to do","feel pain","cog","bio","across domain","cog-bio","choose what to do-feel pain",46
"pilot_hn1zep0ba1","causal_trial_31",4246,76,"see something","take a walk","cog","act","across domain","cog-act","see something-take a walk",79
"pilot_hn1zep0ba1","causal_trial_32",4531,87,"feel scared","sit down","bio","act","across domain","bio-act","feel scared-sit down",72
"pilot_hn1zep0ba1","causal_trial_33",9669,86,"feel sick","feel scared","bio","bio","within domain","bio-bio","feel sick-feel scared",84
"pilot_hn1zep0ba1","causal_trial_34",6357,88,"sit down","think about something","act","cog","across domain","act-cog","sit down-think about something",58
"pilot_hn1zep0ba1","causal_trial_35",8964,67,"feel sick","see something","bio","cog","across domain","bio-cog","feel sick-see something",34
"pilot_hn1zep0ba1","causal_trial_36",3997,77,"think about something","take a walk","cog","act","across domain","cog-act","think about something-take a walk",83
"pilot_hn1zep0ba1","causal_trial_37",4632,87,"feel scared","feel pain","bio","bio","within domain","bio-bio","feel scared-feel pain",68
"pilot_hn1zep0ba1","causal_trial_38",3947,75,"feel hungry","take a walk","bio","act","across domain","bio-act","feel hungry-take a walk",34
"pilot_hn1zep0ba1","causal_trial_39",4043,76,"feel scared","jump up and down","bio","act","across domain","bio-act","feel scared-jump up and down",50
"pilot_hn1zep0ba1","causal_trial_40",3787,66,"feel pain","choose what to do","bio","cog","across domain","bio-cog","feel pain-choose what to do",72
"pilot_hn1zep0ba1","causal_trial_41",4530,85,"feel scared","reach for something","bio","act","across domain","bio-act","feel scared-reach for something",78
"pilot_hn1zep0ba1","causal_trial_42",5685,29,"jump up and down","choose what to do","act","cog","across domain","act-cog","jump up and down-choose what to do",29
"pilot_htdpl9r472","causal_trial_1",7394,0,"sit down","jump up and down","act","act","within domain","act-act","sit down-jump up and down",37
"pilot_htdpl9r472","causal_trial_2",5829,77,"feel pain","feel scared","bio","bio","within domain","bio-bio","feel pain-feel scared",87
"pilot_htdpl9r472","causal_trial_3",7607,70,"feel pain","feel hungry","bio","bio","within domain","bio-bio","feel pain-feel hungry",50
"pilot_htdpl9r472","causal_trial_4",8146,99,"feel scared","think about something","bio","cog","across domain","bio-cog","feel scared-think about something",67
"pilot_htdpl9r472","causal_trial_5",4642,100,"feel pain","remember something","bio","cog","across domain","bio-cog","feel pain-remember something",100
"pilot_htdpl9r472","causal_trial_6",7236,43,"see something","feel pain","cog","bio","across domain","cog-bio","see something-feel pain",64
"pilot_htdpl9r472","causal_trial_7",5505,98,"take a walk","see something","act","cog","across domain","act-cog","take a walk-see something",90
"pilot_htdpl9r472","causal_trial_8",6533,6,"kick something","take a walk","act","act","within domain","act-act","kick something-take a walk",37
"pilot_htdpl9r472","causal_trial_9",6807,95,"feel tired","remember something","bio","cog","across domain","bio-cog","feel tired-remember something",77
"pilot_htdpl9r472","causal_trial_10",8180,81,"sit down","choose what to do","act","cog","across domain","act-cog","sit down-choose what to do",81
"pilot_htdpl9r472","causal_trial_11",4984,12,"feel hungry","take a walk","bio","act","across domain","bio-act","feel hungry-take a walk",34
"pilot_htdpl9r472","causal_trial_12",5801,50,"see something","hear something","cog","cog","within domain","cog-cog","see something-hear something",55
"pilot_htdpl9r472","causal_trial_13",9924,65,"hear something","reach for something","cog","act","across domain","cog-act","hear something-reach for something",62
"pilot_htdpl9r472","causal_trial_14",5654,93,"think about something","feel scared","cog","bio","across domain","cog-bio","think about something-feel scared",69
"pilot_htdpl9r472","causal_trial_15",7760,41,"reach for something","hear something","act","cog","across domain","act-cog","reach for something-hear something",60
"pilot_htdpl9r472","causal_trial_16",6703,100,"see something","reach for something","cog","act","across domain","cog-act","see something-reach for something",100
"pilot_htdpl9r472","causal_trial_17",5877,72,"feel sick","feel tired","bio","bio","within domain","bio-bio","feel sick-feel tired",72
"pilot_htdpl9r472","causal_trial_18",6768,84,"remember something","jump up and down","cog","act","across domain","cog-act","remember something-jump up and down",76
"pilot_htdpl9r472","causal_trial_19",6102,87,"choose what to do","feel scared","cog","bio","across domain","cog-bio","choose what to do-feel scared",84
"pilot_htdpl9r472","causal_trial_20",3655,99,"remember something","feel scared","cog","bio","across domain","cog-bio","remember something-feel scared",89
"pilot_htdpl9r472","causal_trial_21",6729,64,"choose what to do","feel tired","cog","bio","across domain","cog-bio","choose what to do-feel tired",42
"pilot_htdpl9r472","causal_trial_22",4675,89,"feel sick","feel pain","bio","bio","within domain","bio-bio","feel sick-feel pain",87
"pilot_htdpl9r472","causal_trial_23",5434,93,"see something","jump up and down","cog","act","across domain","cog-act","see something-jump up and down",78
"pilot_htdpl9r472","causal_trial_24",4587,98,"take a walk","think about something","act","cog","across domain","act-cog","take a walk-think about something",75
"pilot_htdpl9r472","causal_trial_25",6212,34,"feel scared","see something","bio","cog","across domain","bio-cog","feel scared-see something",28
"pilot_htdpl9r472","causal_trial_26",4231,70,"feel pain","jump up and down","bio","act","across domain","bio-act","feel pain-jump up and down",48
"pilot_htdpl9r472","causal_trial_27",3574,94,"feel scared","kick something","bio","act","across domain","bio-act","feel scared-kick something",89
"pilot_htdpl9r472","causal_trial_28",7818,16,"think about something","hear something","cog","cog","within domain","cog-cog","think about something-hear something",8
"pilot_htdpl9r472","causal_trial_29",4260,100,"feel scared","remember something","bio","cog","across domain","bio-cog","feel scared-remember something",78
"pilot_htdpl9r472","causal_trial_30",4945,77,"feel scared","sit down","bio","act","across domain","bio-act","feel scared-sit down",72
"pilot_htdpl9r472","causal_trial_31",5053,81,"take a walk","feel sick","act","bio","across domain","act-bio","take a walk-feel sick",71
"pilot_htdpl9r472","causal_trial_32",5348,63,"hear something","feel hungry","cog","bio","across domain","cog-bio","hear something-feel hungry",55
"pilot_htdpl9r472","causal_trial_33",4669,54,"feel scared","feel pain","bio","bio","within domain","bio-bio","feel scared-feel pain",68
"pilot_htdpl9r472","causal_trial_34",8146,56,"take a walk","reach for something","act","act","within domain","act-act","take a walk-reach for something",66
"pilot_htdpl9r472","causal_trial_35",4283,97,"feel pain","choose what to do","bio","cog","across domain","bio-cog","feel pain-choose what to do",72
"pilot_htdpl9r472","causal_trial_36",4910,83,"reach for something","choose what to do","act","cog","across domain","act-cog","reach for something-choose what to do",84
"pilot_htdpl9r472","causal_trial_37",5338,93,"feel pain","reach for something","bio","act","across domain","bio-act","feel pain-reach for something",72
"pilot_htdpl9r472","causal_trial_38",6881,72,"feel sick","jump up and down","bio","act","across domain","bio-act","feel sick-jump up and down",38
"pilot_htdpl9r472","causal_trial_39",5108,86,"kick something","reach for something","act","act","within domain","act-act","kick something-reach for something",63
"pilot_htdpl9r472","causal_trial_40",5671,99,"feel hungry","reach for something","bio","act","across domain","bio-act","feel hungry-reach for something",84
"pilot_htdpl9r472","causal_trial_41",4434,74,"reach for something","remember something","act","cog","across domain","act-cog","reach for something-remember something",66
"pilot_htdpl9r472","causal_trial_42",5162,76,"reach for something","kick something","act","act","within domain","act-act","reach for something-kick something",52
"pilot_jyzkq05t0m","causal_trial_1",4232,83,"remember something","feel sick","cog","bio","across domain","cog-bio","remember something-feel sick",78
"pilot_jyzkq05t0m","causal_trial_2",4300,0,"think about something","hear something","cog","cog","within domain","cog-cog","think about something-hear something",8
"pilot_jyzkq05t0m","causal_trial_3",6343,81,"take a walk","feel pain","act","bio","across domain","act-bio","take a walk-feel pain",71
"pilot_jyzkq05t0m","causal_trial_4",5268,60,"feel scared","jump up and down","bio","act","across domain","bio-act","feel scared-jump up and down",50
"pilot_jyzkq05t0m","causal_trial_5",3612,25,"feel tired","feel scared","bio","bio","within domain","bio-bio","feel tired-feel scared",51
"pilot_jyzkq05t0m","causal_trial_6",3172,100,"hear something","feel scared","cog","bio","across domain","cog-bio","hear something-feel scared",100
"pilot_jyzkq05t0m","causal_trial_7",3401,59,"reach for something","remember something","act","cog","across domain","act-cog","reach for something-remember something",66
"pilot_jyzkq05t0m","causal_trial_8",4320,29,"sit down","think about something","act","cog","across domain","act-cog","sit down-think about something",58
"pilot_jyzkq05t0m","causal_trial_9",3844,56,"feel scared","think about something","bio","cog","across domain","bio-cog","feel scared-think about something",67
"pilot_jyzkq05t0m","causal_trial_10",6888,50,"remember something","take a walk","cog","act","across domain","cog-act","remember something-take a walk",51
"pilot_jyzkq05t0m","causal_trial_11",3853,100,"kick something","feel pain","act","bio","across domain","act-bio","kick something-feel pain",96
"pilot_jyzkq05t0m","causal_trial_12",3011,42,"feel sick","kick something","bio","act","across domain","bio-act","feel sick-kick something",42
"pilot_jyzkq05t0m","causal_trial_13",3699,60,"remember something","kick something","cog","act","across domain","cog-act","remember something-kick something",60
"pilot_jyzkq05t0m","causal_trial_14",2796,24,"jump up and down","think about something","act","cog","across domain","act-cog","jump up and down-think about something",50
"pilot_jyzkq05t0m","causal_trial_15",2557,38,"feel scared","take a walk","bio","act","across domain","bio-act","feel scared-take a walk",55
"pilot_jyzkq05t0m","causal_trial_16",5099,92,"remember something","think about something","cog","cog","within domain","cog-cog","remember something-think about something",92
"pilot_jyzkq05t0m","causal_trial_17",3527,67,"hear something","feel sick","cog","bio","across domain","cog-bio","hear something-feel sick",66
"pilot_jyzkq05t0m","causal_trial_18",2975,85,"see something","feel sick","cog","bio","across domain","cog-bio","see something-feel sick",85
"pilot_jyzkq05t0m","causal_trial_19",7526,0,"remember something","see something","cog","cog","within domain","cog-cog","remember something-see something",10
"pilot_jyzkq05t0m","causal_trial_20",3951,40,"feel pain","feel tired","bio","bio","within domain","bio-bio","feel pain-feel tired",64
"pilot_jyzkq05t0m","causal_trial_21",3395,76,"feel sick","reach for something","bio","act","across domain","bio-act","feel sick-reach for something",62
"pilot_jyzkq05t0m","causal_trial_22",2542,75,"feel scared","reach for something","bio","act","across domain","bio-act","feel scared-reach for something",78
"pilot_jyzkq05t0m","causal_trial_23",6286,68,"see something","sit down","cog","act","across domain","cog-act","see something-sit down",56
"pilot_jyzkq05t0m","causal_trial_24",4757,20,"choose what to do","feel tired","cog","bio","across domain","cog-bio","choose what to do-feel tired",42
"pilot_jyzkq05t0m","causal_trial_25",3536,65,"feel scared","sit down","bio","act","across domain","bio-act","feel scared-sit down",72
"pilot_jyzkq05t0m","causal_trial_26",6183,18,"see something","hear something","cog","cog","within domain","cog-cog","see something-hear something",55
"pilot_jyzkq05t0m","causal_trial_27",4239,82,"feel pain","choose what to do","bio","cog","across domain","bio-cog","feel pain-choose what to do",72
"pilot_jyzkq05t0m","causal_trial_28",3750,81,"choose what to do","feel scared","cog","bio","across domain","cog-bio","choose what to do-feel scared",84
"pilot_jyzkq05t0m","causal_trial_29",3785,0,"feel scared","see something","bio","cog","across domain","bio-cog","feel scared-see something",28
"pilot_jyzkq05t0m","causal_trial_30",3993,83,"see something","jump up and down","cog","act","across domain","cog-act","see something-jump up and down",78
"pilot_jyzkq05t0m","causal_trial_31",3495,85,"see something","choose what to do","cog","cog","within domain","cog-cog","see something-choose what to do",68
"pilot_jyzkq05t0m","causal_trial_32",3650,37,"feel hungry","feel tired","bio","bio","within domain","bio-bio","feel hungry-feel tired",55
"pilot_jyzkq05t0m","causal_trial_33",3769,77,"take a walk","feel sick","act","bio","across domain","act-bio","take a walk-feel sick",71
"pilot_jyzkq05t0m","causal_trial_34",2824,29,"take a walk","kick something","act","act","within domain","act-act","take a walk-kick something",47
"pilot_jyzkq05t0m","causal_trial_35",5606,86,"see something","kick something","cog","act","across domain","cog-act","see something-kick something",86
"pilot_jyzkq05t0m","causal_trial_36",2733,50,"kick something","jump up and down","act","act","within domain","act-act","kick something-jump up and down",66
"pilot_jyzkq05t0m","causal_trial_37",2983,36,"remember something","sit down","cog","act","across domain","cog-act","remember something-sit down",36
"pilot_jyzkq05t0m","causal_trial_38",2906,91,"feel hungry","feel pain","bio","bio","within domain","bio-bio","feel hungry-feel pain",78
"pilot_jyzkq05t0m","causal_trial_39",2879,75,"jump up and down","feel sick","act","bio","across domain","act-bio","jump up and down-feel sick",59
"pilot_jyzkq05t0m","causal_trial_40",3994,15,"choose what to do","feel pain","cog","bio","across domain","cog-bio","choose what to do-feel pain",46
"pilot_jyzkq05t0m","causal_trial_41",3890,38,"sit down","hear something","act","cog","across domain","act-cog","sit down-hear something",49
"pilot_jyzkq05t0m","causal_trial_42",3311,88,"feel sick","feel pain","bio","bio","within domain","bio-bio","feel sick-feel pain",87
"pilot_sv3offwvby","causal_trial_1",5605,75,"feel hungry","feel tired","bio","bio","within domain","bio-bio","feel hungry-feel tired",55
"pilot_sv3offwvby","causal_trial_2",3846,82,"feel pain","sit down","bio","act","across domain","bio-act","feel pain-sit down",77
"pilot_sv3offwvby","causal_trial_3",3964,18,"feel pain","think about something","bio","cog","across domain","bio-cog","feel pain-think about something",46
"pilot_sv3offwvby","causal_trial_4",2996,77,"reach for something","feel pain","act","bio","across domain","act-bio","reach for something-feel pain",76
"pilot_sv3offwvby","causal_trial_5",3579,93,"kick something","think about something","act","cog","across domain","act-cog","kick something-think about something",81
"pilot_sv3offwvby","causal_trial_6",2546,20,"sit down","kick something","act","act","within domain","act-act","sit down-kick something",22
"pilot_sv3offwvby","causal_trial_7",2463,69,"see something","hear something","cog","cog","within domain","cog-cog","see something-hear something",55
"pilot_sv3offwvby","causal_trial_8",2645,78,"take a walk","feel hungry","act","bio","across domain","act-bio","take a walk-feel hungry",78
"pilot_sv3offwvby","causal_trial_9",2414,23,"reach for something","see something","act","cog","across domain","act-cog","reach for something-see something",52
"pilot_sv3offwvby","causal_trial_10",3897,17,"feel scared","jump up and down","bio","act","across domain","bio-act","feel scared-jump up and down",50
"pilot_sv3offwvby","causal_trial_11",2796,70,"jump up and down","sit down","act","act","within domain","act-act","jump up and down-sit down",59
"pilot_sv3offwvby","causal_trial_12",3300,91,"kick something","feel pain","act","bio","across domain","act-bio","kick something-feel pain",96
"pilot_sv3offwvby","causal_trial_13",2759,33,"feel tired","feel scared","bio","bio","within domain","bio-bio","feel tired-feel scared",51
